id,kaili_ledo,indonesia,contoh
152,Nombaao,membayar dukun untuk doa dipelajari.,"Yaku neguru kakaba jadi niaoku samata ladi ka i Tapuntina. Saya mempelajari kebal, jadi saya bayar sebuah pisau ke Tapuntina."
153,Aono,enam,
154,Kaaonona,keenam,
155,Apa,"karena, sebab",
156,Apu,api,
157,Napapu,terbakar,
158,Unu Nu Apu,asap,
159,Noriapu,"masak, menanak",
160,Niporiapu,dimasak,
161,Poriapu,masakan,
162,Apu Napaya,"api mati, api padam.",
163,Apu Nipanderu,api unggun,
164,Naara Tai,lapar,
165,Nearasi,menjadikan lapar; menyebabkan kelaparan,"Tona haitu nootisi uve, tano dopa nabutu pae. Nearasi ia. Orang itu tutup air, padahal belum cukup untuk padi. Dia menyebabkan kelaparan nanti."
166,Ara Mpai,kelaparan,
167,Kaara Mpai,musim kelaparan; masa kekeringan,
168,Naara Pangane,sesudah itu,
169,Nompoara,menolak,
170,Eo Arabaa,hari rabu,
171,Are,pisau yg bentuknya melengkung yg dipakai untuk memotong padi atau rumput,
172,Aropi,buah pohon lengkeng,
173,Nompakaasa,"meresmikan; memastikan cerita, rencana, janji; menjamin","Nia posusa niovomo ivei, ane majadi mpuu, rapakaasa. Rencana untuk pesta ditentukan begitu, kalau sungguhsungguh akan jadi baru dipastikan."
174,Naasa,dapat dipercaya; tentu; pasti.,"Domo naasa tesa, nadea kuvava, ledo ria isina. Pembicaraannya tidak dapat dipercaya lagi, banyak gurau tetapi tidak ada isinya"
175,Niasa,dibuatkan pesta adat pokeso,
176,Toniasa,orang yang dibuatkan pesta pokeso,
177,Noasa,"membersihkan bagian mata cincin yg rusak supaya menjadi baru; mengasah, membuat mata cincin lebih tipis","Ane noasa sinji, batuana nompakanipi mata sinji. Kalau mengasah mata cincin, berarti membuat mata cincin itu lebih tipis"
178,Asala,asal,"Pakemo, asala rapopanjili ngena. Pakailah, asal dikembalikan nanti."
179,Ase Mpesonde,besi berani,
180,Topobaluu Ase,orang yg bekerja dgn barangbarang besi; orang yg membengkokkan besi atau menggulungkan besi; tukang besi.,
181,Ase,"1) Besi, 2)Asyik",
182,Naase Mpuu,asyik sekali,
183,Aselena,Hasilnya,
184,Nompopoasele,menyukseskan; menyebabkan berhasil.,
185,Asi Nu Mata,rasa kasihan,
186,Naasi Mata,merasa kasihan; berbelas kasihan.,Naasi mataku nanggita topunggu pangane. Saya rasa kasihan melihat orang cacat tadi.
187,Napakasi,"orang yang mempunyai cara hidup yang menyedihkan, yaitu orang miskin",
188,Napakasi Mpaka,larat; miskin sekali,
189,Poasi,kasih,
190,Nompoasi,mengasihani; bermurah hati.,
191,Nosipoasi Mata,saling berbelas kasihan,
192,Pakasi Ranga!,kasihan!,
193,Netiasi,minta dikasihani,
194,Naaso,padat,
195,Nombaaso,"menekan seperti injak tanah, taruh barang di tempatnya dengan padat sekali; memadatkan; memasukkan dengan paksa.",
196,Noaso Gimba,mengetatkan kulit tambur,
197,Nosiaso,saling bersempit,
198,Neaso,bersesak,
199,Aspaa,aspal,
200,Asu,anjing,
201,Noasu,berburu,
202,Topoasu,pemburu,
203,Asu Poasu,anjing pemburu,
204,Mpoasu,seperti anjing,"Nangande mpoasu ia, nombajojo hau, nasara rarana. Ia makan seperti anjing, dia makan cepat, tidak sabar"
205,Niasukira,diburu oleh mereka,
206,Naasu,bersifat anjing,
207,Asulaku,musang,
208,Ata,atap,
209,Ata Jono,atap alang-alang,
210,Ata Gente,atap genteng,
211,Noata,beratap,
212,Nompeata,membuat atap; memasang atap,I Buri nompeatani banuana. Buri mengatapi rumahnya.
213,Notosu Ata,membuat atap dari rumbia.,
214,Nolati Ata,membuat atap dari rotan,
215,Atau,atau,
216,Ate,hati,
217,Naoge Ate,"rewel; seperti anak yg ingin melakukan padahal belum mampu, tetapi kalau orang lain membuatnya dia terus rewel bahwa dialah yg harus buat. f",
218,Ate Bura,paru-paru,
219,Ate Nggada,bagian telapak kaki yg melengkung; tapak kaki.,
220,Noati Manu,"ayam jantan yg sudah dilatih berkelahi, dipakai untuk menarik ayam hutan supaya ayam hutan itu dapat ditangkap; mengumpani ayam hutan dgn ayam biasa",
221,Manu Poati,ayam (biasanya jantan) dipakai sebagai umpan.,
222,Atu,ratus,talu-atu tiga ratus
223,Noatu-Atu,ratusan,Noatu-atu topokai Gumbasa saeo. Beratus-ratus orang yang menggali irigasi gumbasa dulu.
224,Atura,aturan,
